network,parallelized,CT_runtime,GA_runtime,CA_runtime
amazon,1,0.706299,397,175
amazon,1,0.719997,425,186
amazon,1,0.745503,449,178
amazon,1,0.731003,435,199
amazon,1,0.731919,421,177
amazon,1,0.730585,414,186
amazon,1,0.751394,461,210
amazon,1,0.761465,431,215
amazon,1,0.716149,419,187
amazon,1,0.722509,417,377
amazon,1,0.701708,382,182
amazon,1,0.75477,418,180
amazon,1,0.695446,398,202
amazon,1,0.724214,423,185
amazon,1,0.727332,412,176
amazon,1,0.724795,408,188
amazon,1,0.695967,414,208
amazon,1,0.738274,465,211
amazon,0,0.708716,390,1018
amazon,0,0.7245,397,1031
amazon,0,0.716816,396,1050
amazon,0,0.728548,418,1019
amazon,0,0.738062,414,1032
amazon,0,0.72642,419,1032
amazon,0,0.703046,388,1243
amazon,0,0.703166,383,1005
amazon,0,0.761737,436,1378
amazon,0,0.719016,402,1018
amazon,0,0.714558,410,1015
amazon,0,0.780525,494,1349
amazon,1,0.728716,394,185
amazon,0,0.725457,400,1178
amazon,1,0.715117,393,198
amazon,0,0.706742,402,997
amazon,0,0.722669,430,1082
amazon,0,0.738845,405,1133
amazon,0,0.943917,870,1684
amazon,0,0.718937,402,1026
amazon,0,0.740022,393,1012
amazon,0,0.715989,713,1018
amazon,1,0.696167,384,184
amazon,1,0.693892,390,182
amazon,1,0.699894,393,185
amazon,1,0.700255,401,187
amazon,1,0.704016,406,216
amazon,0,0.697965,398,1010
amazon,0,0.703794,402,1034
amazon,0,0.712243,416,1051
amazon,0,0.719544,417,1113
amazon,1,0.700938,410,176
amazon,1,0.692285,404,200
amazon,1,0.713325,406,209
amazon,1,0.713703,405,212
amazon,1,0.760395,434,216
amazon,0,0.694622,397,996
amazon,0,0.694637,379,1029
amazon,0,0.711272,404,1045
amazon,0,0.695124,397,1064
amazon,0,0.702719,600,1111
amazon,1,0.694706,392,185
amazon,1,0.699168,397,201
amazon,1,0.696926,402,203
amazon,1,0.706369,401,206
amazon,1,0.714577,409,207
amazon,0,0.682686,386,964
amazon,0,0.719832,413,1145
amazon,0,0.710462,420,1144
amazon,0,0.704699,397,1022
amazon,0,0.693684,401,1124
amazon,1,0.69361,385,180
amazon,1,0.698146,392,182
amazon,1,0.697288,401,205
amazon,1,0.72545,412,215
amazon,1,0.696872,388,182
amazon,1,0.692383,394,183
amazon,1,0.709104,409,202
amazon,1,0.744851,420,217
amazon,1,0.702984,390,465
amazon,1,0.70274,407,546
amazon,0,0.691433,398,992
amazon,0,0.698602,389,1016
amazon,0,0.713342,394,1017
amazon,0,0.686143,399,970
amazon,0,0.69583,389,1016
amazon,0,0.70733,411,1067
amazon,0,0.700075,402,1030
amazon,0,0.710315,409,1105
amazon,0,0.85356,285,1492
amazon,1,0.698043,388,182
amazon,1,0.691824,399,203
amazon,1,0.695259,397,202
amazon,1,0.687759,423,184
amazon,1,0.694233,383,181
amazon,0,0.710927,396,1013
amazon,0,0.697132,397,1029
amazon,0,0.829196,408,1113
amazon,0,0.743654,431,1261
amazon,0,0.724611,700,1144
amazon,1,0.699168,384,184
amazon,1,0.699245,387,184
amazon,1,0.720401,410,175
amazon,1,0.709357,406,193
amazon,1,0.73883,418,179
amazon,1,0.707227,401,202
amazon,1,0.6991,398,208
amazon,1,0.695336,405,204
amazon,1,0.709833,407,208
amazon,1,0.719159,412,216
amazon,0,0.692707,376,1015
amazon,0,0.70382,396,995
amazon,0,0.706996,399,1017
amazon,0,0.722336,413,1043
amazon,0,0.691438,405,1078
amazon,0,0.696224,404,1078
amazon,0,0.713146,413,1126
amazon,0,0.699789,400,1068
amazon,0,0.708636,391,1020
amazon,1,0.702166,388,180
amazon,1,0.700123,387,182
amazon,1,0.695081,384,181
amazon,1,0.712822,405,186
amazon,1,0.695352,399,183
amazon,1,0.697844,396,186
amazon,1,0.724381,419,178
amazon,1,0.696087,404,203
amazon,1,0.720965,432,206
amazon,0,0.695232,381,1005
amazon,0,0.697438,401,999
amazon,0,0.704998,394,1012
amazon,0,0.704843,393,1015
amazon,0,0.70493,402,1027
amazon,0,0.698367,396,991
amazon,0,0.695009,405,995
amazon,0,0.708183,728,959
amazon,0,0.721687,413,1285
amazon,0,0.689388,398,988
dblp,0,0.903777,114,120
dblp,1,0.869878,140,28
dblp,1,0.867324,143,27
dblp,1,0.866699,143,27
dblp,1,0.863796,144,27
dblp,1,0.871236,145,28
dblp,1,0.867071,143,31
dblp,1,0.886664,149,30
dblp,1,0.88027,150,30
dblp,1,0.90156,155,27
dblp,1,0.862743,143,28
dblp,1,0.877532,146,27
dblp,1,0.866519,147,30
dblp,1,0.881109,152,30
dblp,1,0.9434,154,34
dblp,1,0.909435,156,35
dblp,1,0.873971,167,37
dblp,1,0.902995,156,30
dblp,1,0.869561,144,33
dblp,1,0.931553,155,34
dblp,1,0.904965,157,32
dblp,1,0.906823,157,35
dblp,1,0.967559,165,34
dblp,1,0.929281,173,32
dblp,1,0.866722,147,29
dblp,1,0.863481,146,31
dblp,0,0.865306,144,152
dblp,0,0.872694,146,147
dblp,0,0.927055,155,149
dblp,0,0.864497,144,155
dblp,0,0.907157,156,146
dblp,0,0.936312,160,145
dblp,0,0.873317,156,160
dblp,0,0.942,171,176
dblp,1,0.881967,149,28
dblp,1,0.949726,168,29
dblp,0,0.924662,371,144
dblp,1,0.916827,152,29
dblp,1,0.907847,156,30
dblp,1,0.871538,147,30
dblp,0,0.86727,146,162
dblp,0,0.879145,149,143
dblp,0,0.877728,152,151
dblp,0,0.907324,156,148
dblp,1,0.913594,153,31
dblp,1,0.947983,155,34
dblp,1,0.910502,155,30
dblp,1,0.891007,147,29
dblp,0,0.900055,149,310
dblp,0,0.904073,155,170
dblp,0,0.861835,145,148
dblp,0,0.866945,145,149
dblp,0,0.908176,157,145
dblp,0,0.867904,145,164
dblp,1,0.864845,146,30
dblp,1,0.86609,143,30
dblp,1,0.874718,148,28
dblp,1,0.873134,147,30
dblp,0,0.878152,144,146
dblp,0,0.8791,153,148
dblp,0,0.881946,149,156
dblp,0,0.867349,146,160
dblp,0,0.881162,147,148
dblp,1,0.865851,146,27
dblp,1,0.864404,144,30
dblp,1,0.874883,148,31
dblp,1,0.895209,151,31
dblp,1,0.875884,153,32
dblp,0,0.874134,146,144
dblp,0,0.862895,146,157
dblp,0,0.868123,146,160
dblp,0,0.878949,149,162
dblp,1,0.875792,146,27
dblp,1,0.889499,149,30
dblp,1,0.870375,150,31
dblp,1,0.864341,153,33
dblp,1,0.911929,155,33
dblp,0,0.863696,146,157
dblp,0,0.867283,147,161
dblp,0,0.875641,150,162
dblp,0,0.911555,155,161
dblp,0,0.866268,146,459
dblp,1,0.863701,144,28
dblp,1,0.869145,148,28
dblp,1,0.871038,149,29
dblp,1,0.903701,154,30
dblp,1,0.86244,144,27
dblp,1,0.860746,145,28
dblp,1,0.86687,147,27
dblp,1,0.881869,148,30
dblp,1,0.910487,151,32
dblp,0,0.867727,149,148
dblp,0,0.878552,148,158
dblp,0,0.881896,151,160
dblp,0,0.902587,150,164
dblp,0,0.869314,148,146
dblp,0,0.866475,144,162
dblp,0,0.868064,145,162
dblp,0,0.879349,150,163
dblp,0,0.864802,144,151
dblp,1,0.875087,144,27
dblp,1,0.868208,147,30
dblp,1,0.871642,149,29
dblp,1,0.879085,152,30
dblp,1,0.870771,149,31
dblp,0,0.862175,146,146
dblp,0,0.863766,144,149
dblp,0,0.859977,145,150
dblp,0,0.872419,146,158
dblp,0,0.900592,151,161
dblp,1,0.864452,147,28
dblp,1,0.867168,144,31
dblp,1,0.866349,147,29
dblp,1,0.889391,148,30
dblp,1,0.884252,151,28
dblp,1,0.913103,154,27
dblp,1,0.903191,156,29
dblp,1,0.916819,157,32
dblp,0,0.862154,142,147
dblp,0,0.879945,147,144
dblp,0,0.863711,144,151
dblp,0,0.866466,143,153
dblp,0,0.86395,143,159
dblp,0,0.88845,149,161
dblp,0,0.884977,150,160
dblp,0,0.876048,146,152
dblp,1,0.862847,147,30
dblp,1,0.87134,147,31
dblp,1,0.871959,149,30
dblp,1,0.878869,157,29
dblp,1,0.868875,145,30
dblp,1,0.879328,152,30
dblp,1,0.98111,151,32
dblp,1,0.882865,147,32
dblp,0,0.87159,149,145
dblp,0,0.873824,149,146
dblp,0,0.865427,144,159
dblp,0,0.867134,148,156
dblp,0,0.88885,148,160
dblp,0,0.877101,146,143
dblp,0,0.887319,149,148
dblp,0,0.872514,147,159
dblp,0,0.909937,150,163
dblp,0,0.891652,156,166
dblp,1,0.873347,147,28
lj,1,144.603,49790,8934
lj,1,138.967,44151,8496
lj,1,140.786,45819,8558
lj,1,140.862,46265,8596
lj,1,142.679,45167,8637
lj,1,145.452,49869,10007
lj,1,139.846,44549,8534
lj,1,140.128,45726,12407
lj,1,139.701,44267,8550
lj,1,144.12,44523,9393
lj,1,138.063,44395,8498
lj,1,142.002,46005,11603
lj,1,146.393,45930,11812
lj,0,139.133,44109,53522
lj,1,169.68,23681,3387
lj,1,139.171,44223,8530
lj,1,139.035,44350,8980
lj,1,140.714,44763,9431
lj,1,139.164,44543,9646
lj,1,146.997,52216,10765
lj,1,138.558,44283,8515
lj,1,139.018,44356,8559
lj,0,139.072,44001,53148
lj,0,138.688,44012,52927
lj,0,138.919,43981,53586
lj,0,138.774,43782,54289
lj,0,138.723,44112,53380
lj,1,142.451,45238,8633
lj,0,142.271,45150,55358
lj,0,139.558,44406,54282
lj,0,142.372,47988,55617
lj,1,141.826,45645,10897
lj,0,147.251,51784,55868
lj,1,139.09,44122,8585
lj,1,140.709,44961,8623
lj,1,139.789,44538,9440
lj,0,148.333,52735,56956
lj,1,138.616,44306,8532
lj,0,149.456,53835,64459
lj,1,139.064,44333,8929
lj,0,147.636,51996,68428
lj,0,143.233,45640,54219
lj,0,138.796,43980,53241
lj,0,139.048,44055,54932
lj,1,139.662,45004,9994
lj,0,140.443,46445,64103
lj,1,141.688,44269,8542
lj,1,138.959,44456,9430
lj,1,141.69,48302,8668
lj,1,142.164,48439,8662
lj,1,142.682,48592,8873
lj,1,142.75,48963,10647
lj,1,143.135,50153,9458
lj,1,138.309,44175,8518
lj,1,147.723,52871,11450
lj,1,148.303,52197,12240
lj,1,161.368,54907,10423
lj,1,147.86,53009,12828
lj,1,142.776,45596,10212
lj,1,139.717,44511,8538
lj,1,139.136,44502,9374
lj,1,138.83,44320,9413
lj,1,142.473,45884,9613
lj,1,142.21,46495,9619
lj,1,143.356,48543,8898
lj,0,140.811,48458,53234
lj,1,137.996,44354,8511
lj,1,141.304,45688,9526
lj,1,137.943,44251,9419
lj,1,141.812,45826,9625
lj,1,141.382,45410,8597
lj,1,140.654,46076,8571
lj,1,141.337,45454,9506
lj,1,143.016,48777,8890
lj,1,138.23,44248,8499
lj,1,143.157,48428,8876
lj,0,138.667,43967,53185
lj,0,140.836,44999,50057
lj,0,137.883,43894,53300
lj,0,137.907,43922,53494
lj,0,142.349,45461,50314
lj,0,141.028,45040,51089
lj,0,138.395,43900,54258
lj,0,142.256,45466,54872
lj,0,143.72,47888,57050
lj,0,142.715,48153,56750
lj,0,143.709,48079,56905
lj,1,141.627,45312,8578
lj,0,172.7,23590,68998
lj,0,139.118,43969,53473
lj,0,142.438,44185,54209
lj,0,139.183,43982,53401
lj,0,140.831,44857,52363
lj,0,138.34,43967,52985
lj,0,139.454,43994,53573
lj,0,138.61,43965,53258
lj,0,138.414,43836,53626
lj,0,142.479,45489,54499
lj,0,141.185,44995,52091
lj,0,139.031,43902,53544
lj,0,138.97,43980,54323
lj,0,138.998,43915,57800
lj,0,138.666,44030,57007
lj,0,138.745,47526,53556
lj,0,138.778,44046,53630
youtube,1,27.2038,1344,16
youtube,1,22.1087,2629,38
youtube,1,22.127,2609,39
youtube,1,22.0837,2614,39
youtube,1,22.66,2686,40
youtube,1,23.0447,2702,41
youtube,0,22.1235,2639,211
youtube,1,23.0289,2752,48
youtube,0,22.0885,2648,210
youtube,0,22.6581,2715,211
youtube,0,22.9783,2738,238
youtube,1,23.4289,2960,39
youtube,1,22.6987,2719,40
youtube,1,22.8278,2731,45
youtube,0,23.3453,2883,230
youtube,0,22.1155,2644,209
youtube,0,23.2897,2886,229
youtube,0,23.2297,2890,229
youtube,0,22.092,2654,209
youtube,0,23.6552,2895,230
youtube,0,22.2459,2663,210
youtube,0,22.5562,2697,198
youtube,0,24.4285,3135,222
youtube,1,22.6184,2690,38
youtube,1,22.6231,2694,39
youtube,0,24.4716,3132,219
youtube,0,22.1011,2638,209
youtube,0,22.122,2647,208
youtube,0,22.1149,2658,211
youtube,1,24.4455,3178,41
youtube,1,23.3115,2944,41
youtube,1,23.357,2990,44
youtube,0,23.2603,2886,224
youtube,1,24.4195,3184,39
youtube,1,22.6837,2704,40
youtube,0,24.4439,3131,222
youtube,1,22.7008,2938,41
youtube,1,22.7723,2916,41
youtube,1,22.1406,2617,39
youtube,1,22.1059,2622,39
youtube,1,22.1064,2661,39
youtube,0,22.105,2626,213
youtube,0,22.1553,2638,213
youtube,0,22.1042,2646,213
youtube,0,22.6653,2711,207
youtube,1,22.6025,2684,39
youtube,1,22.1049,2628,38
youtube,1,22.6623,2709,40
youtube,1,22.9548,2772,48
youtube,0,22.1513,2643,208
youtube,0,22.7556,2717,211
youtube,1,22.7526,2712,41
youtube,0,22.883,3067,206
youtube,0,22.1121,2941,214
youtube,1,22.1261,2622,38
youtube,1,22.1544,2650,349
youtube,0,22.1273,2635,213
youtube,0,22.6895,2709,210
youtube,1,22.0873,2612,38
youtube,1,22.2531,2650,44
youtube,1,22.6452,2686,38
youtube,0,22.089,2628,211
youtube,0,22.6481,2700,204
youtube,0,22.7127,2716,211
youtube,0,22.6889,2717,211
youtube,1,23.3455,2939,43
youtube,1,27.455,1626,13
youtube,0,22.6644,2715,205
youtube,1,22.1399,2621,39
youtube,1,22.1539,2629,39
youtube,1,22.0909,2624,39
youtube,1,22.6239,2685,38
youtube,1,22.1067,2633,38
youtube,1,22.7946,2687,40
youtube,1,22.137,2642,40
youtube,1,22.2607,2652,41
youtube,1,22.6496,2715,40
youtube,0,22.1815,2647,209
youtube,0,22.0992,2656,209
youtube,0,22.2018,2667,213
youtube,0,22.2197,2672,211
youtube,0,22.1092,2636,209
youtube,0,22.0933,2648,208
youtube,0,22.1159,2653,211
youtube,0,23.0492,2744,213
youtube,0,22.6097,2698,204
youtube,0,22.7554,2723,206
youtube,1,26.862,1326,14
youtube,1,22.3829,2738,46
youtube,1,22.1031,2632,38
youtube,1,22.1461,2662,40
youtube,1,22.1395,2664,42
youtube,1,22.6411,2758,38
youtube,0,22.6338,2696,204
youtube,0,22.6653,2714,206
youtube,0,22.2526,2652,210
youtube,0,22.1175,2634,209
youtube,1,26.557,1341,13
youtube,0,22.1177,2637,324
youtube,1,22.0828,2630,39
youtube,1,22.1788,2657,41
youtube,1,22.7134,2686,39
youtube,1,22.6579,2698,39
youtube,1,22.6129,2705,38
youtube,1,22.642,2738,39
youtube,0,22.0991,2634,209
youtube,0,22.1208,2646,209
youtube,0,22.1754,2663,213
youtube,0,22.093,2666,214
youtube,0,22.639,2704,206
youtube,0,22.6471,2708,206
youtube,0,22.6924,2706,211
youtube,0,22.6639,2707,211
youtube,0,22.7282,2745,220
youtube,1,23.1436,2945,44
youtube,1,23.1357,2947,41
youtube,0,23.1265,2884,227
youtube,1,22.0986,2620,38
youtube,1,22.6652,2678,39
youtube,1,22.6876,2695,40
youtube,1,22.8967,2712,40
youtube,1,22.6552,2688,39
youtube,1,22.7116,2692,40
youtube,1,22.8747,2705,41
youtube,1,22.1615,2653,43
youtube,0,22.1336,2649,210
youtube,0,22.1685,2646,211
youtube,0,22.7085,2723,210
youtube,0,22.6223,2707,206
youtube,0,22.7041,2738,212
youtube,0,22.9983,2763,199
youtube,0,23.1636,2676,204
youtube,1,22.1201,2627,38
youtube,0,22.1331,2933,209
youtube,0,23.605,2897,229
youtube,1,23.4697,3126,56
youtube,1,22.0876,2621,38
youtube,0,22.1445,2637,209
amazon,1,0.702301,391,182
amazon,1,0.700907,395,183
amazon,1,0.69979,396,183
amazon,1,0.705596,400,184
amazon,0,0.702772,388,1005
amazon,0,0.69392,389,1014
amazon,0,0.698099,392,1029
amazon,0,0.697435,382,1166
amazon,0,0.72492,694,1219
dblp,1,0.864467,142,28
dblp,1,0.867954,145,30
dblp,1,0.864108,146,30
dblp,1,0.877336,146,31
dblp,0,0.874456,144,146
dblp,0,0.904926,147,151
dblp,0,0.874336,146,160
dblp,0,0.885069,150,154
dblp,0,0.900362,151,162
lj,1,136.173,42213,6821
lj,1,140.898,45237,8021
lj,1,140.989,45309,8556
lj,1,141.408,49006,8594
lj,1,139.212,44453,9446
lj,0,164.113,23467,70716
lj,0,138.866,44558,53738
lj,0,138.918,43955,53185
youtube,1,22.0959,2600,38
youtube,1,22.1461,2619,40
youtube,1,22.1113,2626,40
youtube,1,22.6457,2689,38
youtube,1,22.6746,2705,39
youtube,0,22.1328,2634,213
youtube,0,22.6741,2706,211
youtube,0,22.7094,2721,211
youtube,0,22.7251,2740,212
youtube,0,22.0918,2642,211
